p.x1_.value() = -0.552948,   p.x2_.value() = 2.93588e-08,   res["objective"] = 66.0513,   
p.x1_.value() = 0.608896,   p.x2_.value() = 3.03228,   res["objective"] = 22.0647,   
p.x1_.value() = 0.54148,   p.x2_.value() = 5.87607,   res["objective"] = 18.7185,   
p.x1_.value() = 0.938952,   p.x2_.value() = 4.85525,   res["objective"] = 15.7269,   
p.x1_.value() = -0.462005,   p.x2_.value() = 4.57153,   res["objective"] = 23.3974,   
p.x1_.value() = 0.742476,   p.x2_.value() = 4.74125,   res["objective"] = 17.0968,   
p.x1_.value() = 1.04392,   p.x2_.value() = 5.34954,   res["objective"] = 15.5855,   
p.x1_.value() = 1.00567,   p.x2_.value() = 8.40806,   res["objective"] = 30.1809,   
p.x1_.value() = 1.49487,   p.x2_.value() = 4.13494,   res["objective"] = 10.7792,   
p.x1_.value() = 2.11155,   p.x2_.value() = 3.37044,   res["objective"] = 5.0811,   
p.x1_.value() = 2.84011,   p.x2_.value() = 2.46749,   res["objective"] = 0.833938,   
p.x1_.value() = 3.43726,   p.x2_.value() = 2.84218,   res["objective"] = 1.43307,   
p.x1_.value() = 3.07954,   p.x2_.value() = 2.65408,   res["objective"] = 0.525395,   
p.x1_.value() = 3.44107,   p.x2_.value() = 1.51577,   res["objective"] = 1.11392,   
p.x1_.value() = -3.95998,   p.x2_.value() = 8.39194,   res["objective"] = 38.6781,   
p.x1_.value() = 3.18019,   p.x2_.value() = 2.25893,   res["objective"] = 0.405231,   
p.x1_.value() = 3.17025,   p.x2_.value() = 2.27307,   res["objective"] = 0.402244,   
p.x1_.value() = 3.16084,   p.x2_.value() = 2.29746,   res["objective"] = 0.401068,   
p.x1_.value() = 3.15852,   p.x2_.value() = 2.3052,   res["objective"] = 0.401144,   
p.x1_.value() = 9.35322,   p.x2_.value() = 1.00007e-08,   res["objective"] = 6.25613,   
