p.x1_.value() = 2.5,   p.x2_.value() = 7.5,   res["objective"] = 24.13,   
p.x1_.value() = 10,   p.x2_.value() = 15,   res["objective"] = 145.872,   
p.x1_.value() = -5,   p.x2_.value() = 1e-08,   res["objective"] = 308.129,   
p.x1_.value() = 8.32223,   p.x2_.value() = 3.70944,   res["objective"] = 9.69606,   
p.x1_.value() = -2.61209,   p.x2_.value() = 14.4269,   res["objective"] = 13.1925,   
p.x1_.value() = 10,   p.x2_.value() = 0.150628,   res["objective"] = 10.0789,   
p.x1_.value() = 1.05247,   p.x2_.value() = 12.8307,   res["objective"] = 84.6918,   
p.x1_.value() = -5,   p.x2_.value() = 15,   res["objective"] = 17.5083,   
p.x1_.value() = 5.26666,   p.x2_.value() = 1.96543,   res["objective"] = 15.638,   
p.x1_.value() = 4.91982,   p.x2_.value() = 5.47127,   res["objective"] = 29.4043,   
p.x1_.value() = 7.55791,   p.x2_.value() = 1e-08,   res["objective"] = 14.6254,   
p.x1_.value() = -3.79368,   p.x2_.value() = 10.8595,   res["objective"] = 11.595,   
p.x1_.value() = 10,   p.x2_.value() = 2.47477,   res["objective"] = 2.22213,   
p.x1_.value() = -0.997585,   p.x2_.value() = 8.03987,   res["objective"] = 15.3123,   
p.x1_.value() = 10,   p.x2_.value() = 5.83618,   res["objective"] = 9.97031,   
p.x1_.value() = -3.124,   p.x2_.value() = 12.4495,   res["objective"] = 0.446361,   
p.x1_.value() = 1.76985,   p.x2_.value() = 4.43988,   res["objective"] = 8.82721,   
p.x1_.value() = -3.71783,   p.x2_.value() = 13.0037,   res["objective"] = 2.4371,   
p.x1_.value() = 3.21619,   p.x2_.value() = 1e-08,   res["objective"] = 5.3421,   
p.x1_.value() = 10,   p.x2_.value() = 3.85037,   res["objective"] = 2.66125,   
p.x1_.value() = 2.97278,   p.x2_.value() = 2.07763,   res["objective"] = 0.64507,   
p.x1_.value() = -2.3783,   p.x2_.value() = 11.1767,   res["objective"] = 3.49853,   
p.x1_.value() = 2.47648,   p.x2_.value() = 1.6109,   res["objective"] = 3.98207,   
p.x1_.value() = 3.33333,   p.x2_.value() = 1.44963,   res["objective"] = 1.03706,   
p.x1_.value() = -3.11943,   p.x2_.value() = 12.1688,   res["objective"] = 0.403053,   
