p.x1_.value() = 0.486661,   p.x2_.value() = 2.93588e-08,   res["objective"] = 46.1134,   
p.x1_.value() = -0.694746,   p.x2_.value() = 7.33042,   res["objective"] = 17.4029,   
p.x1_.value() = -0.821263,   p.x2_.value() = 2.73537,   res["objective"] = 38.2467,   
p.x1_.value() = 1.28072,   p.x2_.value() = 5.49395,   res["objective"] = 14.4899,   
p.x1_.value() = 0.662498,   p.x2_.value() = 6.03027,   res["objective"] = 18.6276,   
p.x1_.value() = 1.19766,   p.x2_.value() = 7.75682,   res["objective"] = 25.5944,   
p.x1_.value() = -1.37911,   p.x2_.value() = 6.43972,   res["objective"] = 15.8329,   
p.x1_.value() = 1.35743,   p.x2_.value() = 4.05872,   res["objective"] = 12.0336,   
p.x1_.value() = 2.65964,   p.x2_.value() = 2.70639,   res["objective"] = 1.49231,   
p.x1_.value() = 2.52555,   p.x2_.value() = 1e-08,   res["objective"] = 10.028,   
p.x1_.value() = 4.2091,   p.x2_.value() = 0.976889,   res["objective"] = 5.74434,   
p.x1_.value() = 3.27109,   p.x2_.value() = 2.0243,   res["objective"] = 0.501347,   
p.x1_.value() = -3.95112,   p.x2_.value() = 9.07645,   res["objective"] = 30.7153,   
p.x1_.value() = 3.15717,   p.x2_.value() = 3.01003,   res["objective"] = 0.957282,   
p.x1_.value() = 3.13947,   p.x2_.value() = 2.30733,   res["objective"] = 0.39885,   
p.x1_.value() = 3.14055,   p.x2_.value() = 2.28777,   res["objective"] = 0.398036,   
p.x1_.value() = 3.13703,   p.x2_.value() = 2.35335,   res["objective"] = 0.403581,   
p.x1_.value() = 3.13874,   p.x2_.value() = 2.29974,   res["objective"] = 0.398433,   
p.x1_.value() = 3.13606,   p.x2_.value() = 2.31895,   res["objective"] = 0.399605,   
p.x1_.value() = 3.1429,   p.x2_.value() = 2.22711,   res["objective"] = 0.400092,   
