p.x1_.value() = -0.263515,   p.x2_.value() = 6.80764e-08,   res["objective"] = 60.5946,   
p.x1_.value() = 0.684482,   p.x2_.value() = 4.18912,   res["objective"] = 18.0508,   
p.x1_.value() = 0.480647,   p.x2_.value() = 3.35068,   res["objective"] = 22.1783,   
p.x1_.value() = -0.222004,   p.x2_.value() = 6.06927,   res["objective"] = 19.4508,   
p.x1_.value() = -0.555209,   p.x2_.value() = 4.77265,   res["objective"] = 22.7858,   
p.x1_.value() = 0.520679,   p.x2_.value() = 5.33508,   res["objective"] = 18.3462,   
p.x1_.value() = -0.663741,   p.x2_.value() = 7.9988,   res["objective"] = 18.3476,   
p.x1_.value() = -0.658412,   p.x2_.value() = 7.16964,   res["objective"] = 17.5993,   
p.x1_.value() = 1.44163,   p.x2_.value() = 3.84931,   res["objective"] = 11.2524,   
p.x1_.value() = 2.12193,   p.x2_.value() = 3.77659,   res["objective"] = 5.29909,   
p.x1_.value() = 2.70757,   p.x2_.value() = 3.74769,   res["objective"] = 2.52001,   
p.x1_.value() = 2.76404,   p.x2_.value() = 6.63196,   res["objective"] = 17.429,   
p.x1_.value() = 3.23727,   p.x2_.value() = 2.09747,   res["objective"] = 0.452641,   
p.x1_.value() = 3.02261,   p.x2_.value() = 2.48331,   res["objective"] = 0.478697,   
p.x1_.value() = -3.23008,   p.x2_.value() = 9.03707,   res["objective"] = 12.349,   
p.x1_.value() = 3.20633,   p.x2_.value() = 2.43744,   res["objective"] = 0.463113,   
p.x1_.value() = 3.144,   p.x2_.value() = 2.3233,   res["objective"] = 0.400433,   
p.x1_.value() = 3.14524,   p.x2_.value() = 2.31708,   res["objective"] = 0.39997,   
p.x1_.value() = 3.15055,   p.x2_.value() = 2.35019,   res["objective"] = 0.405023,   
p.x1_.value() = 3.13924,   p.x2_.value() = 2.2758,   res["objective"] = 0.397915,   
