p.x1_.value() = -0.480479,   p.x2_.value() = 2.93588e-08,   res["objective"] = 64.6805,   
p.x1_.value() = 0.46604,   p.x2_.value() = 1.79429,   res["objective"] = 30.7724,   
p.x1_.value() = 0.576629,   p.x2_.value() = 3.33511,   res["objective"] = 21.254,   
p.x1_.value() = 1.10435,   p.x2_.value() = 3.24852,   res["objective"] = 15.6439,   
p.x1_.value() = 1.14707,   p.x2_.value() = 8.20791,   res["objective"] = 28.875,   
p.x1_.value() = 1.02644,   p.x2_.value() = 5.36312,   res["objective"] = 15.7134,   
p.x1_.value() = 1.08022,   p.x2_.value() = 4.13093,   res["objective"] = 14.6143,   
p.x1_.value() = -1.23872,   p.x2_.value() = 6.77144,   res["objective"] = 15.0855,   
p.x1_.value() = 1.86431,   p.x2_.value() = 3.95185,   res["objective"] = 7.44279,   
p.x1_.value() = 2.57622,   p.x2_.value() = 2.92464,   res["objective"] = 1.92012,   
p.x1_.value() = 2.61118,   p.x2_.value() = 1.81332,   res["objective"] = 2.54836,   
p.x1_.value() = 3.03712,   p.x2_.value() = 2.30938,   res["objective"] = 0.452593,   
p.x1_.value() = 3.20459,   p.x2_.value() = 2.00784,   res["objective"] = 0.4647,   
p.x1_.value() = -3.08064,   p.x2_.value() = 7.1557,   res["objective"] = 25.1495,   
p.x1_.value() = 10,   p.x2_.value() = 1.00023e-08,   res["objective"] = 10.9609,   
p.x1_.value() = 9.22568,   p.x2_.value() = 2.62696,   res["objective"] = 0.686659,   
p.x1_.value() = 8.68804,   p.x2_.value() = 1.13018,   res["objective"] = 3.51767,   
p.x1_.value() = 9.311,   p.x2_.value() = 5.24229,   res["objective"] = 8.64867,   
p.x1_.value() = 8.89975,   p.x2_.value() = 2.94058,   res["objective"] = 2.45303,   
p.x1_.value() = 9.31836,   p.x2_.value() = 2.05038,   res["objective"] = 0.565319,   
