p.x1_.value() = -0.505614,   p.x2_.value() = 2.93588e-08,   res["objective"] = 65.1553,   
p.x1_.value() = 0.293194,   p.x2_.value() = 2.62094,   res["objective"] = 27.7394,   
p.x1_.value() = 0.748237,   p.x2_.value() = 4.42373,   res["objective"] = 17.2468,   
p.x1_.value() = -0.847604,   p.x2_.value() = 6.16219,   res["objective"] = 17.9919,   
p.x1_.value() = -0.664113,   p.x2_.value() = 4.62774,   res["objective"] = 23.7425,   
p.x1_.value() = 0.505709,   p.x2_.value() = 6.8786,   res["objective"] = 21.1241,   
p.x1_.value() = 1.2303,   p.x2_.value() = 5.82791,   res["objective"] = 15.7362,   
p.x1_.value() = 1.42418,   p.x2_.value() = 3.56585,   res["objective"] = 11.5873,   
p.x1_.value() = -1.47662,   p.x2_.value() = 9.66387,   res["objective"] = 11.9681,   
p.x1_.value() = -1.47246,   p.x2_.value() = 8.33025,   res["objective"] = 11.0287,   
p.x1_.value() = 1.85827,   p.x2_.value() = 3.67502,   res["objective"] = 7.31229,   
p.x1_.value() = 2.52231,   p.x2_.value() = 3.61442,   res["objective"] = 2.83218,   
p.x1_.value() = 3.17788,   p.x2_.value() = 1.2942,   res["objective"] = 1.31178,   
p.x1_.value() = -3.49196,   p.x2_.value() = 9.55057,   res["objective"] = 13.8143,   
p.x1_.value() = 3.01783,   p.x2_.value() = 2.14301,   res["objective"] = 0.524459,   
p.x1_.value() = 3.34879,   p.x2_.value() = 2.16651,   res["objective"] = 0.60553,   
p.x1_.value() = 3.1568,   p.x2_.value() = 2.19967,   res["objective"] = 0.403029,   
p.x1_.value() = 3.13721,   p.x2_.value() = 2.32649,   res["objective"] = 0.400291,   
p.x1_.value() = 3.16965,   p.x2_.value() = 2.13733,   res["objective"] = 0.415098,   
p.x1_.value() = 3.14526,   p.x2_.value() = 2.27609,   res["objective"] = 0.397968,   
