p.x1_.value() = -0.429378,   p.x2_.value() = 6.80764e-08,   res["objective"] = 63.7169,   
p.x1_.value() = 0.683699,   p.x2_.value() = 1.98022,   res["objective"] = 26.3962,   
p.x1_.value() = 0.545015,   p.x2_.value() = 4.98064,   res["objective"] = 18.2472,   
p.x1_.value() = -0.54557,   p.x2_.value() = 3.66739,   res["objective"] = 28.7017,   
p.x1_.value() = 0.724844,   p.x2_.value() = 4.15803,   res["objective"] = 17.76,   
p.x1_.value() = 0.824172,   p.x2_.value() = 8.1835,   res["objective"] = 28.1322,   
p.x1_.value() = 1.7675,   p.x2_.value() = 4.83342,   res["objective"] = 9.66822,   
p.x1_.value() = 1.86368,   p.x2_.value() = 3.21521,   res["objective"] = 7.29918,   
p.x1_.value() = -1.75757,   p.x2_.value() = 7.536,   res["objective"] = 10.9736,   
p.x1_.value() = 2.30938,   p.x2_.value() = 3.1907,   res["objective"] = 3.56686,   
p.x1_.value() = 2.86443,   p.x2_.value() = 3.0861,   res["objective"] = 1.10662,   
p.x1_.value() = 3.15213,   p.x2_.value() = 0.958337,   res["objective"] = 2.11048,   
p.x1_.value() = 3.02585,   p.x2_.value() = 2.09976,   res["objective"] = 0.533553,   
p.x1_.value() = -3.88833,   p.x2_.value() = 8.32991,   res["objective"] = 36.729,   
p.x1_.value() = 3.24507,   p.x2_.value() = 2.05869,   res["objective"] = 0.468015,   
p.x1_.value() = 9.81025,   p.x2_.value() = 1.00016e-08,   res["objective"] = 9.05123,   
p.x1_.value() = 8.53106,   p.x2_.value() = 1.00003e-08,   res["objective"] = 7.31221,   
p.x1_.value() = 9.13343,   p.x2_.value() = 3.42424,   res["objective"] = 2.20447,   
p.x1_.value() = 9.08296,   p.x2_.value() = 1.95799,   res["objective"] = 1.01281,   
p.x1_.value() = 9.48825,   p.x2_.value() = 2.56598,   res["objective"] = 0.418585,   
