p.x1_.value() = -0.488162,   p.x2_.value() = 2.93588e-08,   res["objective"] = 64.8256,   
p.x1_.value() = 0.13349,   p.x2_.value() = 3.90874,   res["objective"] = 23.0553,   
p.x1_.value() = 0.708434,   p.x2_.value() = 5.54651,   res["objective"] = 17.6628,   
p.x1_.value() = 0.91697,   p.x2_.value() = 3.27697,   res["objective"] = 17.7233,   
p.x1_.value() = 0.783765,   p.x2_.value() = 4.37143,   res["objective"] = 17.0129,   
p.x1_.value() = 0.617692,   p.x2_.value() = 8.76355,   res["objective"] = 31.4982,   
p.x1_.value() = -1.46158,   p.x2_.value() = 7.22022,   res["objective"] = 12.9563,   
p.x1_.value() = -1.08367,   p.x2_.value() = 6.7615,   res["objective"] = 15.7377,   
p.x1_.value() = 1.98227,   p.x2_.value() = 3.96819,   res["objective"] = 6.5383,   
p.x1_.value() = 1.90392,   p.x2_.value() = 4.64705,   res["objective"] = 8.3217,   
p.x1_.value() = 2.33648,   p.x2_.value() = 3.22004,   res["objective"] = 3.39993,   
p.x1_.value() = 2.84566,   p.x2_.value() = 2.65332,   res["objective"] = 0.833852,   
p.x1_.value() = 2.97846,   p.x2_.value() = 1.31677,   res["objective"] = 1.71105,   
p.x1_.value() = 3.08934,   p.x2_.value() = 2.11045,   res["objective"] = 0.453283,   
p.x1_.value() = 8.95638,   p.x2_.value() = 1.0001e-08,   res["objective"] = 5.87677,   
p.x1_.value() = 3.59266,   p.x2_.value() = 1.2829,   res["objective"] = 1.80264,   
p.x1_.value() = 3.14698,   p.x2_.value() = 2.2659,   res["objective"] = 0.398051,   
p.x1_.value() = 8.86339,   p.x2_.value() = 2.27048,   res["objective"] = 1.92379,   
p.x1_.value() = 3.15739,   p.x2_.value() = 2.29325,   res["objective"] = 0.400018,   
p.x1_.value() = 3.15181,   p.x2_.value() = 2.25819,   res["objective"] = 0.398467,   
